,Title,Summary,Director,Writer,Main Genres,Release Year,Runtime (Minutes),Rating (Out of 10),metadata
0,napoleon,"An epic that details the checkered rise and fall of French Emperor Napoleon Bonaparte and his relentless journey to power through the prism of his addictive, volatile relationship with his wife, Josephine.",Ridley Scott,David Scarpa,"Action,Adventure,Biography",2023.0,158.0,6.7,epic detail checkered rise fall french emperor napoleon bonaparte relentless journey power prism addictive volatile relationship wife josephine david scarpa ridley scott action adventure biography
1,the hunger games: the ballad of songbirds & snakes,Coriolanus Snow mentors and develops feelings for the female District 12 tribute during the 10th Hunger Games.,Francis Lawrence,"Michael Lesslie,Michael Arndt,Suzanne Collins","Action,Adventure,Drama",2023.0,157.0,7.2,coriolanus snow mentor develops feeling female district tribute th hunger game michael lesslie michael arndt suzanne collins francis lawrence action adventure drama
2,the killer,"After a fateful near-miss, an assassin battles his employers and himself, on an international manhunt he insists isn't personal.",David Fincher,"Andrew Kevin Walker,Luc Jacamon,Alexis Nolent","Action,Adventure,Crime",2023.0,118.0,6.8,fateful near miss assassin battle employer international manhunt insists personal andrew kevin walker luc jacamon alexis nolent david fincher action adventure crime
3,leo,A 74-year-old lizard named Leo and his turtle friend decide to escape from the terrarium of a Florida school classroom where they have been living for decades.,"David Wachtenheim,Robert Smigel,Robert Marianetti","Paul Sado,Robert Smigel,Adam Sandler","Animation,Comedy,Family",2023.0,102.0,7.0,year old lizard named leo turtle friend decide escape terrarium florida school classroom living decade paul sado robert smigel adam sandler david wachtenheim robert smigel robert marianetti animation comedy family
4,thanksgiving,"After a Black Friday riot ends in tragedy, a mysterious Thanksgiving-inspired killer terrorizes Plymouth, Massachusetts - the birthplace of the infamous holiday.",Eli Roth,"Eli Roth,Jeff Rendell","Horror,Mystery,Thriller",2023.0,106.0,7.0,black friday riot end tragedy mysterious thanksgiving inspired killer terrorizes plymouth massachusetts birthplace infamous holiday eli roth jeff rendell eli roth horror mystery thriller
5,oppenheimer,"The story of American scientist, J. Robert Oppenheimer, and his role in the development of the atomic bomb.",Christopher Nolan,"Martin Sherwin,Christopher Nolan,Kai Bird","Biography,Drama,History",2023.0,3.0,8.5,story american scientist j robert oppenheimer role development atomic bomb martin sherwin christopher nolan kai bird christopher nolan biography drama history
6,saltburn,"A student at Oxford University finds himself drawn into the world of a charming and aristocratic classmate, who invites him to his eccentric family's sprawling estate for a summer never to be forgotten.",Emerald Fennell,Emerald Fennell,"Comedy,Drama,Thriller",2023.0,131.0,7.5,student oxford university find drawn world charming aristocratic classmate invite eccentric family sprawling estate summer never forgotten emerald fennell emerald fennell comedy drama thriller
7,the marvels,"Carol Danvers gets her powers entangled with those of Kamala Khan and Monica Rambeau, forcing them to work together to save the universe.",Nia DaCosta,"Elissa Karasik,Nia DaCosta,Megan McDonnell","Action,Adventure,Fantasy",2023.0,105.0,6.0,carol danvers get power entangled kamala khan monica rambeau forcing work together save universe elissa karasik nia dacosta megan mcdonnell nia dacosta action adventure fantasy
8,wish,A young girl named Asha wishes on a star and gets a more direct answer than she bargained for when a trouble-making star comes down from the sky to join her.,"Fawn Veerasunthorn,Chris Buck","Jennifer Lee,Chris Buck,Allison Moore","Animation,Adventure,Comedy",2023.0,95.0,5.9,young girl named asha wish star get direct answer bargained trouble making star come sky join jennifer lee chris buck allison moore fawn veerasunthorn chris buck animation adventure comedy
9,the creator,"Against the backdrop of a war between humans and robots with artificial intelligence, a former soldier finds the secret weapon, a robot in the form of a young child.",Gareth Edwards,"Chris Weitz,Gareth Edwards","Action,Adventure,Drama",2023.0,133.0,6.9,backdrop war human robot artificial intelligence former soldier find secret weapon robot form young child chris weitz gareth edward gareth edward action adventure drama
10,killers of the flower moon,"When oil is discovered in 1920s Oklahoma under Osage Nation land, the Osage people are murdered one by one - until the FBI steps in to unravel the mystery.",Martin Scorsese,"Eric Roth,David Grann,Martin Scorsese","Crime,Drama,History",2023.0,206.0,8.0,oil discovered oklahoma osage nation land osage people murdered one one fbi step unravel mystery eric roth david grann martin scorsese martin scorsese crime drama history
11,trolls band together,"Poppy discovers that Branch was once part of the boy band 'BroZone' with his brothers, Floyd, John Dory, Spruce and Clay. When Floyd is kidnapped, Branch and Poppy embark on a journey to reunite his two other brothers and rescue Floyd.","Walt Dohrn,Tim Heitz","Kim Caramele,Thomas Dam,Elizabeth Tippet","Animation,Adventure,Comedy",2023.0,91.0,6.0,poppy discovers branch part boy band brozone brother floyd john dory spruce clay floyd kidnapped branch poppy embark journey reunite two brother rescue floyd kim caramele thomas dam elizabeth tippet walt dohrn tim heitz animation adventure comedy
12,five nights at freddy's,"A troubled security guard begins working at Freddy Fazbear's Pizza. During his first night on the job, he realizes that the night shift won't be so easy to get through. Pretty soon he will unveil what actually happened at Freddy's.",Emma Tammi,"Emma Tammi,Seth Cuddeback,Scott Cawthon","Horror,Mystery,Thriller",2023.0,109.0,5.5,troubled security guard begin working freddy fazbear pizza first night job realizes night shift easy get pretty soon unveil actually happened freddy emma tammi seth cuddeback scott cawthon emma tammi horror mystery thriller
13,blue beetle,"An alien scarab chooses Jaime Reyes to be its symbiotic host, bestowing the recent college graduate with a suit of armor that's capable of extraordinary powers, forever changing his destiny as he becomes the superhero known as Blue Beetle.",Angel Manuel Soto,Gareth Dunnet-Alcocer,"Action,Adventure,Sci-Fi",2023.0,127.0,6.0,alien scarab chooses jaime reyes symbiotic host bestowing recent college graduate suit armor capable extraordinary power forever changing destiny becomes superhero known blue beetle gareth dunnet alcocer angel manuel soto action adventure sci fi
14,the hunger games,Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.,Gary Ross,"Billy Ray,Gary Ross,Suzanne Collins","Action,Adventure,Sci-Fi",2012.0,142.0,7.2,katniss everdeen voluntarily take younger sister place hunger game televised competition two teenager twelve district panem chosen random fight death billy ray gary ross suzanne collins gary ross action adventure sci fi
15,madame web,Madame Web tells the standalone origin story of one of Marvel publishing's most enigmatic heroines.,S.J. Clarkson,"S.J. Clarkson,Kerem Sanga,Claire Parker","Action,Adventure,Sci-Fi",2024.0,,,madame web tell standalone origin story one marvel publishing enigmatic heroine j clarkson kerem sanga claire parker j clarkson action adventure sci fi
16,a haunting in venice,"In post-World War II Venice, Poirot, now retired and living in his own exile, reluctantly attends a seance. But when one of the guests is murdered, it is up to the former detective to once again uncover the killer.",Kenneth Branagh,"Michael Green,Agatha Christie","Crime,Drama,Horror",2023.0,103.0,6.5,post world war ii venice poirot retired living exile reluctantly attends seance one guest murdered former detective uncover killer michael green agatha christie kenneth branagh crime drama horror
17,tiger 3,Tiger and Zoya are back - to save the country and their family. This time it's personal.,Maneesh Sharma,"Aditya Chopra,Shridhar Raghavan,Anckur Chaudhry","Action,Adventure,Thriller",2023.0,154.0,7.5,tiger zoya back save country family time personal aditya chopra shridhar raghavan anckur chaudhry maneesh sharma action adventure thriller
18,the holdovers,A cranky history teacher at a remote prep school is forced to remain on campus over the holidays with a troubled student who has no place to go.,Alexander Payne,David Hemingson,"Comedy,Drama",2023.0,133.0,8.2,cranky history teacher remote prep school forced remain campus holiday troubled student place go david hemingson alexander payne comedy drama
19,barbie,Barbie suffers a crisis that leads her to question her world and her existence.,Greta Gerwig,"Greta Gerwig,Noah Baumbach","Adventure,Comedy,Fantasy",2023.0,114.0,7.0,barbie suffers crisis lead question world existence greta gerwig noah baumbach greta gerwig adventure comedy fantasy
20,anyone but you,"After an amazing first date, Bea and Ben's fiery attraction turns ice cold - until they find themselves unexpectedly reunited at a destination wedding in Australia. So they do what any two mature adults would do: pretend to be a couple.",Will Gluck,"Will Gluck,Ilana Wolpert","Comedy,Romance",2023.0,100.0,,amazing first date bea ben fiery attraction turn ice cold find unexpectedly reunited destination wedding australia two mature adult would pretend couple gluck ilana wolpert gluck comedy romance
21,please don't destroy: the treasure of foggy mountain,"It follows three friends who live together. When they realize that they don't like their life trajectory, they set off to find a gold treasure that is rumored to be buried in the nearby mountain.",Paul Briganti,"John Higgins,Martin Herlihy,Ben Marshall",Comedy,2023.0,92.0,6.1,follows three friend live together realize like life trajectory set find gold treasure rumored buried nearby mountain john higgins martin herlihy ben marshall paul briganti comedy
22,best. christmas. ever!,Friendships are put to the ultimate test over a boastful holiday newsletter.,Mary Lambert,"Todd Calgi Gallicano,Charles Shyer","Comedy,Romance",2023.0,82.0,4.4,friendship put ultimate test boastful holiday newsletter todd calgi gallicano charles shyer mary lambert comedy romance
23,scott pilgrim vs. the world,"In a magically realistic version of Toronto, a young man must defeat his new girlfriend's seven evil exes one by one in order to win her heart.",Edgar Wright,"Bryan Lee O'Malley,Edgar Wright,Michael Bacall","Action,Comedy,Fantasy",2010.0,112.0,7.5,magically realistic version toronto young man must defeat new girlfriend seven evil ex one one order win heart bryan lee malley edgar wright michael bacall edgar wright action comedy fantasy
24,the marsh king's daughter,A woman seeks revenge against the man who kidnapped her mother.,Neil Burger,"Elle Smith,Karen Dionne,Mark L. Smith","Crime,Drama,Mystery",2023.0,109.0,5.9,woman seek revenge man kidnapped mother elle smith karen dionne mark l smith neil burger crime drama mystery
25,no hard feelings,"On the brink of losing her home, Maddie finds an intriguing job listing: helicopter parents looking for someone to bring their introverted 19-year-old son out of his shell before college. She has one summer to make him a man or die trying.",Gene Stupnitsky,"Gene Stupnitsky,John Phillips","Comedy,Romance",2023.0,103.0,6.4,brink losing home maddie find intriguing job listing helicopter parent looking someone bring introverted year old son shell college one summer make man die trying gene stupnitsky john phillips gene stupnitsky comedy romance
26,aquaman and the lost kingdom,"Aquaman balances his duties as king and as a member of the Justice League, all while planning a wedding. Black Manta is on the hunt for Atlantean tech to help rebuild his armor. Orm plots to escape his Atlantean prison.",James Wan,"Jason Momoa,James Wan,David Leslie Johnson-McGoldrick","Action,Adventure,Fantasy",2023.0,115.0,,aquaman balance duty king member justice league planning wedding black manta hunt atlantean tech help rebuild armor orm plot escape atlantean prison jason momoa james wan david leslie johnson mcgoldrick james wan action adventure fantasy
27,wonka,"Based on the extraordinary character at the center of Charlie and the Chocolate Factory, ""Wonka"" tells the wondrous story of how the world's greatest inventor, magician and chocolate-maker became the beloved Willy Wonka we know today.",Paul King,"Paul King,Roald Dahl,Simon Farnaby","Adventure,Comedy,Family",2023.0,112.0,,based extraordinary character center charlie chocolate factory wonka tell wondrous story world greatest inventor magician chocolate maker became beloved willy wonka know today paul king roald dahl simon farnaby paul king adventure comedy family
28,leo,"Parthiban is a mild-mannered cafe owner in Kashmir, who fends off a gang of murderous thugs and gains attention from a drug cartel claiming he was once a part of them.",Lokesh Kanagaraj,"Lokesh Kanagaraj,Rathna Kumar,Deeraj Vaidy","Action,Crime,Drama",2023.0,164.0,7.5,parthiban mild mannered cafe owner kashmir fends gang murderous thug gain attention drug cartel claiming part lokesh kanagaraj rathna kumar deeraj vaidy lokesh kanagaraj action crime drama
29,national lampoon's christmas vacation,The Griswold family's plans for a big family Christmas predictably turn into a big disaster.,Jeremiah S. Chechik,John Hughes,Comedy,1989.0,97.0,7.5,griswold family plan big family christmas predictably turn big disaster john hughes jeremiah chechik comedy
30,"planes, trains & automobiles","A Chicago advertising man must struggle to travel home from New York for Thanksgiving, with a lovable oaf of a shower-curtain-ring salesman as his only companion.",John Hughes,John Hughes,"Comedy,Drama",1987.0,93.0,7.6,chicago advertising man must struggle travel home new york thanksgiving lovable oaf shower curtain ring salesman companion john hughes john hughes comedy drama
31,mission: impossible - dead reckoning part one,Ethan Hunt and his IMF team must track down a dangerous weapon before it falls into the wrong hands.,Christopher McQuarrie,"Erik Jendresen,Christopher McQuarrie,Bruce Geller","Action,Adventure,Thriller",2023.0,163.0,7.8,ethan hunt imf team must track dangerous weapon fall wrong hand erik jendresen christopher mcquarrie bruce geller christopher mcquarrie action adventure thriller
32,spider-man: across the spider-verse,"Miles Morales catapults across the Multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero.","Justin K. Thompson,Joaquim Dos Santos,Kemp Powers","Dave Callaham,Phil Lord,Christopher Miller","Animation,Action,Adventure",2023.0,140.0,8.7,mile morale catapult across multiverse encounter team spider people charged protecting existence hero clash handle new threat mile must redefine mean hero dave callaham phil lord christopher miller justin k thompson joaquim do santos kemp power animation action adventure
33,good burger 2,"After his latest invention fails, Dex is welcomed back by Ed to his old job at Good Burger, which is once again put in jeopardy when Dex devises a plan to get back on his feet.",Phil Traill,"Heath Seifert,Kevin Kopelow,Dan Schneider","Comedy,Family",2023.0,90.0,5.5,latest invention fails dex welcomed back ed old job good burger put jeopardy dex devise plan get back foot heath seifert kevin kopelow dan schneider phil traill comedy family
34,elf,"Raised as an oversized elf, Buddy travels from the North Pole to New York City to meet his biological father, Walter Hobbs, who doesn't know he exists and is in desperate need of some Christmas spirit.",Jon Favreau,David Berenbaum,"Adventure,Comedy,Family",2003.0,97.0,7.1,raised oversized elf buddy travel north pole new york city meet biological father walter hobbs know exists desperate need christmas spirit david berenbaum jon favreau adventure comedy family
35,genie,The film is a fairy-tale comedy about a workaholic man who enlists the help of a magical genie to help win his family back before Christmas.,Sam Boyd,Richard Curtis,"Comedy,Fantasy",2023.0,93.0,6.0,film fairy tale comedy workaholic man enlists help magical genie help win family back christmas richard curtis sam boyd comedy fantasy
36,home alone,"An eight-year-old troublemaker, mistakenly left home alone, must defend his home against a pair of burglars on Christmas eve.",Chris Columbus,John Hughes,"Comedy,Family",1990.0,103.0,7.7,eight year old troublemaker mistakenly left home alone must defend home pair burglar christmas eve john hughes chris columbus comedy family
37,x,"In 1979, a group of young filmmakers set out to make an adult film in rural Texas, but when their reclusive, elderly hosts catch them in the act, the cast find themselves fighting for their lives.",Ti West,Ti West,"Horror,Mystery,Thriller",2022.0,105.0,6.5,group young filmmaker set make adult film rural texas reclusive elderly host catch act cast find fighting life ti west ti west horror mystery thriller
38,the hunger games: catching fire,Katniss Everdeen and Peeta Mellark become targets of the Capitol after their victory in the 74th Hunger Games sparks a rebellion in the Districts of Panem.,Francis Lawrence,"Simon Beaufoy,Michael Arndt,Suzanne Collins","Action,Adventure,Sci-Fi",2013.0,146.0,7.5,katniss everdeen peeta mellark become target capitol victory th hunger game spark rebellion district panem simon beaufoy michael arndt suzanne collins francis lawrence action adventure sci fi
39,poor things,"The incredible tale about the fantastical evolution of Bella Baxter, a young woman brought back to life by the brilliant and unorthodox scientist Dr. Godwin Baxter.",Yorgos Lanthimos,"Tony McNamara,Alasdair Gray","Romance,Sci-Fi",2023.0,141.0,8.5,incredible tale fantastical evolution bella baxter young woman brought back life brilliant unorthodox scientist dr godwin baxter tony mcnamara alasdair gray yorgos lanthimos romance sci fi
40,love actually,"Follows the lives of eight very different couples in dealing with their love lives in various loosely interrelated tales all set during a frantic month before Christmas in London, England.",Richard Curtis,Richard Curtis,"Comedy,Drama,Romance",2003.0,135.0,7.6,follows life eight different couple dealing love life various loosely interrelated tale set frantic month christmas london england richard curtis richard curtis comedy drama romance
41,dream scenario,"A hapless family man finds his life turned upside down when millions of strangers suddenly start seeing him in their dreams. When his nighttime appearances take a nightmarish turn, Paul is forced to navigate his newfound stardom.",Kristoffer Borgli,Kristoffer Borgli,"Comedy,Horror",2023.0,102.0,7.4,hapless family man find life turned upside million stranger suddenly start seeing dream nighttime appearance take nightmarish turn paul forced navigate newfound stardom kristoffer borgli kristoffer borgli comedy horror
42,priscilla,"When teenage Priscilla Beaulieu meets Elvis Presley, the man who is already a meteoric rock-and-roll superstar becomes someone entirely unexpected in private moments: a thrilling crush, an ally in loneliness, a vulnerable best friend.",Sofia Coppola,"Sandra Harmon,Priscilla Presley,Sofia Coppola","Biography,Drama,Music",2023.0,113.0,7.0,teenage priscilla beaulieu meet elvis presley man already meteoric rock roll superstar becomes someone entirely unexpected private moment thrilling crush ally loneliness vulnerable best friend sandra harmon priscilla presley sofia coppola sofia coppola biography drama music
43,next goal wins,"The story of the infamously terrible American Samoa soccer team, known for a brutal 2001 FIFA match they lost 31-0.",Taika Waititi,"Taika Waititi,Iain Morris","Comedy,Drama,Sport",2023.0,104.0,6.5,story infamously terrible american samoa soccer team known brutal fifa match lost taika waititi iain morris taika waititi comedy drama sport
44,nyad,"The remarkable true story of athlete Diana Nyad who, at the age of 60 and with the help of her best friend and coach, commits to achieving her life-long dream: a 110-mile open ocean swim from Cuba to Florida.","Jimmy Chin,Elizabeth Chai Vasarhelyi","Julia Cox,Diana Nyad","Biography,Drama,Sport",2023.0,121.0,7.1,remarkable true story athlete diana nyad age help best friend coach commits achieving life long dream mile open ocean swim cuba florida julia cox diana nyad jimmy chin elizabeth chai vasarhelyi biography drama sport
45,may december,"Twenty years after their notorious tabloid romance gripped the nation, a married couple buckles under pressure when an actress arrives to do research for a film about their past.",Todd Haynes,"Alex Mechanik,Samy Burch","Comedy,Drama",2023.0,117.0,7.5,twenty year notorious tabloid romance gripped nation married couple buckle pressure actress arrives research film past alex mechanik samy burch todd haynes comedy drama
46,pain hustlers,"Liza dreams of a better life for herself and her daughter. Hired to work for a bankrupt pharmaceutical company, Liza skyrockets with sales and into the high life, putting her in the middle of a federal criminal conspiracy.",David Yates,"Evan Hughes,Wells Tower","Crime,Drama",2023.0,123.0,6.5,liza dream better life daughter hired work bankrupt pharmaceutical company liza skyrocket sale high life putting middle federal criminal conspiracy evan hughes well tower david yates crime drama
47,godzilla minus one,"Post war Japan is at its lowest point when a new crisis emerges in the form of a giant monster, baptized in the horrific power of the atomic bomb.",Takashi Yamazaki,Takashi Yamazaki,"Action,Adventure,Drama",2023.0,125.0,8.4,post war japan lowest point new crisis emerges form giant monster baptized horrific power atomic bomb takashi yamazaki takashi yamazaki action adventure drama
48,maestro,This love story chronicles the lifelong relationship of conductor-composer Leonard Bernstein and actress Felicia Montealegre Cohn Bernstein.,Bradley Cooper,"Bradley Cooper,Josh Singer","Biography,Drama,Music",2023.0,129.0,7.1,love story chronicle lifelong relationship conductor composer leonard bernstein actress felicia montealegre cohn bernstein bradley cooper josh singer bradley cooper biography drama music
49,old dads,"Three best friends become fathers later in life and find themselves battling preschool principals, millennial CEOs, and anything created after 1987.",Bill Burr,"Ben Tishler,Bill Burr",Comedy,2023.0,104.0,6.2,three best friend become father later life find battling preschool principal millennial ceo anything created ben tishler bill burr bill burr comedy
50,the equalizer 3,"Robert McCall finds himself at home in Southern Italy but he discovers his friends are under the control of local crime bosses. As events turn deadly, McCall knows what he has to do: become his friends' protector by taking on the mafia.",Antoine Fuqua,"Michael Sloan,Richard Wenk,Richard Lindheim","Action,Crime,Thriller",2023.0,109.0,6.9,robert mccall find home southern italy discovers friend control local crime boss event turn deadly mccall know become friend protector taking mafia michael sloan richard wenk richard lindheim antoine fuqua action crime thriller
51,jawan,A high-octane action thriller which outlines the emotional journey of a man who is set to rectify the wrongs in the society.,Atlee,"Sumit Arora,Atlee,Ramanagirivasan","Action,Thriller",2023.0,169.0,7.1,high octane action thriller outline emotional journey man set rectify wrong society sumit arora atlee ramanagirivasan atlee action thriller
52,exmas,Graham surprises his family at Christmas only to discover his ex-fiancee is already celebrating the holiday with his family when he arrives.,Jonah Feingold,Dan Steele,Comedy,2023.0,93.0,5.7,graham surprise family christmas discover ex fiancee already celebrating holiday family arrives dan steele jonah feingold comedy
53,reptile,"Tom Nichols is a hardened New England detective, unflinching in his pursuit of a case where nothing is as it seems and it begins to dismantle the illusions in his own life.",Grant Singer,"Grant Singer,Benjamin Brewer,Benicio Del Toro","Crime,Drama,Mystery",2023.0,134.0,6.8,tom nichols hardened new england detective unflinching pursuit case nothing seems begin dismantle illusion life grant singer benjamin brewer benicio del toro grant singer crime drama mystery
54,rebel moon: part one - a child of fire,"When a peaceful settlement on the edge of a distant moon finds itself threatened by the armies of a tyrannical ruling force, a mysterious stranger living among its villagers becomes their best hope for survival.",Zack Snyder,"Kurt Johnstad,Shay Hatten,Zack Snyder","Action,Adventure,Drama",2023.0,133.0,,peaceful settlement edge distant moon find threatened army tyrannical ruling force mysterious stranger living among villager becomes best hope survival kurt johnstad shay hatten zack snyder zack snyder action adventure drama
55,anatomy of a fall,"A woman is suspected of her husband's murder, and their blind son faces a moral dilemma as the main witness.",Justine Triet,"Arthur Harari,Justine Triet","Crime,Drama,Thriller",2023.0,151.0,7.9,woman suspected husband murder blind son face moral dilemma main witness arthur harari justine triet justine triet crime drama thriller
56,sound of freedom,The incredible true story of a former government agent turned vigilante who embarks on a dangerous mission to rescue hundreds of children from traffickers.,Alejandro Monteverde,"Rod Barr,Alejandro Monteverde","Biography,Crime,Drama",2023.0,131.0,7.7,incredible true story former government agent turned vigilante embarks dangerous mission rescue hundred child trafficker rod barr alejandro monteverde alejandro monteverde biography crime drama
57,talk to me,"When a group of friends discover how to conjure spirits using an embalmed hand, they become hooked on the new thrill, until one of them goes too far and unleashes terrifying supernatural forces.","Danny Philippou,Michael Philippou","Bill Hinzman,Daley Pearson,Danny Philippou","Horror,Thriller",2022.0,95.0,7.1,group friend discover conjure spirit using embalmed hand become hooked new thrill one go far unleashes terrifying supernatural force bill hinzman daley pearson danny philippou danny philippou michael philippou horror thriller
58,harry potter and the sorcerer's stone,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.",Chris Columbus,"Steve Kloves,J.K. Rowling","Adventure,Family,Fantasy",2001.0,152.0,7.6,orphaned boy enrolls school wizardry learns truth family terrible evil haunt magical world steve kloves j k rowling chris columbus adventure family fantasy
59,mean girls,"Cady Heron is a hit with the Plastics, an A-list girl clique at her new school when she makes the mistake of falling for Aaron Samuels, the ex-boyfriend of alpha Plastic Regina George.","Samantha Jayne,Arturo Perez Jr.",,"Comedy,Musical",2024.0,,,cady heron hit plastic list girl clique new school make mistake falling aaron samuel ex boyfriend alpha plastic regina george samantha jayne arturo perez jr comedy musical
60,dashing through the snow,A divorced social worker takes his daughter on a ride along with him on Christmas Eve.,Tim Story,Scott Rosenberg,"Comedy,Family,Fantasy",2023.0,92.0,5.5,divorced social worker take daughter ride along christmas eve scott rosenberg tim story comedy family fantasy
61,the godfather,"Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.",Francis Ford Coppola,"Francis Ford Coppola,Mario Puzo","Crime,Drama",1972.0,175.0,9.2,vito corleone head mafia family decides hand empire youngest son michael however decision unintentionally put life loved one grave danger francis ford coppola mario puzo francis ford coppola crime drama
62,the shift,"After meeting a mysterious stranger, a man must escape a "" dystopian "" world to return to his wife.",Brock Heasley,Brock Heasley,Sci-Fi,2023.0,115.0,6.5,meeting mysterious stranger man must escape dystopian world return wife brock heasley brock heasley sci fi
63,john wick: chapter 4,"John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.",Chad Stahelski,"Shay Hatten,Derek Kolstad,Michael Finch","Action,Crime,Thriller",2023.0,169.0,7.7,john wick uncovers path defeating high table earn freedom wick must face new enemy powerful alliance across globe force turn old friend foe shay hatten derek kolstad michael finch chad stahelski action crime thriller
64,rustin,Activist Bayard Rustin faces racism and homophobia as he helps change the course of Civil Rights history by orchestrating the 1963 March on Washington.,George C. Wolfe,"Dustin Lance Black,Julian Breece","Biography,Drama,History",2023.0,106.0,6.6,activist bayard rustin face racism homophobia help change course civil right history orchestrating march washington dustin lance black julian breece george c wolfe biography drama history
65,interstellar,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.",Christopher Nolan,"Christopher Nolan,Jonathan Nolan","Adventure,Drama,Sci-Fi",2014.0,169.0,8.7,earth becomes uninhabitable future farmer ex nasa pilot joseph cooper tasked pilot spacecraft along team researcher find new planet human christopher nolan jonathan nolan christopher nolan adventure drama sci fi
66,how the grinch stole christmas,"On the outskirts of Whoville lives a green, revenge-seeking Grinch who plans to ruin Christmas for all of the citizens of the town.",Ron Howard,"Peter S. Seaman,Dr. Seuss,Jeffrey Price","Comedy,Family,Fantasy",2000.0,104.0,6.3,outskirt whoville life green revenge seeking grinch plan ruin christmas citizen town peter seaman dr seuss jeffrey price ron howard comedy family fantasy
67,dumb money,David vs. Goliath tale about everyday people who flipped the script on Wall Street and got rich by turning GameStop (the video game store) into the world's hottest company.,Craig Gillespie,"Rebecca Angelo,Lauren Schuker Blum,Ben Mezrich","Biography,Comedy,Drama",2023.0,105.0,6.9,david v goliath tale everyday people flipped script wall street got rich turning gamestop video game store world hottest company rebecca angelo lauren schuker blum ben mezrich craig gillespie biography comedy drama
68,manodrome,"Conflicted about his girlfriend's pregnancy, Ralphie's life spirals out of control when he meets a mysterious family of men.",John Trengove,John Trengove,"Drama,Thriller",2023.0,95.0,4.8,conflicted girlfriend pregnancy ralphie life spiral control meet mysterious family men john trengove john trengove drama thriller
69,the hunger games: mockingjay - part 2,Katniss and a team of rebels from District 13 prepare for the final battle that will decide the fate of Panem.,Francis Lawrence,"Peter Craig,Danny Strong,Suzanne Collins","Action,Adventure,Sci-Fi",2015.0,137.0,6.5,katniss team rebel district prepare final battle decide fate panem peter craig danny strong suzanne collins francis lawrence action adventure sci fi
70,imaginary,A woman returns to her childhood home to discover that the imaginary friend she left behind is very real and unhappy that she abandoned him.,Jeff Wadlow,"Bryce McGuire,Greg Erb,Jason Oremland",Horror,2024.0,,,woman return childhood home discover imaginary friend left behind real unhappy abandoned bryce mcguire greg erb jason oremland jeff wadlow horror
71,kingdom of the planet of the apes,"Many years after the reign of Caesar, a young ape goes on a journey that will lead him to question everything he's been taught about the past and make choices that will define a future for apes and humans alike.",Wes Ball,"Patrick Aison,Josh Friedman,Rick Jaffa","Action,Sci-Fi",2024.0,,,many year reign caesar young ape go journey lead question everything taught past make choice define future ape human alike patrick aison josh friedman rick jaffa wes ball action sci fi
72,the grinch,A grumpy Grinch plots to ruin Christmas for the village of Whoville.,"Scott Mosier,Yarrow Cheney","Tommy Swerdlow,Dr. Seuss,Michael LeSieur","Animation,Comedy,Family",2018.0,85.0,6.4,grumpy grinch plot ruin christmas village whoville tommy swerdlow dr seuss michael lesieur scott mosier yarrow cheney animation comedy family
73,the polar express,"On Christmas Eve, a young boy embarks on a magical adventure to the North Pole on the Polar Express, while learning about friendship, bravery, and the spirit of Christmas.",Robert Zemeckis,"William Broyles Jr.,Robert Zemeckis,Chris Van Allsburg","Animation,Adventure,Comedy",2004.0,100.0,6.6,christmas eve young boy embarks magical adventure north pole polar express learning friendship bravery spirit christmas william broyles jr robert zemeckis chris van allsburg robert zemeckis animation adventure comedy
74,when evil lurks,"In a remote village, two brothers find a demon-infected man just about to ""give birth"" to evil itself. They decide to get rid of the body, only to end up unintentionally spreading chaos.",Demián Rugna,Demián Rugna,Horror,2023.0,99.0,7.0,remote village two brother find demon infected man give birth evil decide get rid body end unintentionally spreading chaos demi n rugna demi n rugna horror
75,the hunger games: mockingjay - part 1,"Katniss Everdeen is in District 13 after she shatters the games forever. Under the leadership of President Coin and the advice of her trusted friends, Katniss spreads her wings as she fights to save Peeta and a nation moved by her courage.",Francis Lawrence,"Peter Craig,Danny Strong,Suzanne Collins","Action,Adventure,Sci-Fi",2014.0,123.0,6.6,katniss everdeen district shatters game forever leadership president coin advice trusted friend katniss spread wing fight save peeta nation moved courage peter craig danny strong suzanne collins francis lawrence action adventure sci fi
76,the shawshank redemption,"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.",Frank Darabont,"Stephen King,Frank Darabont",Drama,1994.0,142.0,9.3,course several year two convict form friendship seeking consolation eventually redemption basic compassion stephen king frank darabont frank darabont drama
