,Title,Summary,Director,Writer,Main Genres,Release Year,Runtime (Minutes),Rating (Out of 10),metadata
863,lisa frankenstein,"A coming of RAGE love story about a teenager and her crush, who happens to be a corpse. After a set of horrific circumstances bring him back to life, the two embark on a journey to find love, happiness - and a few missing body parts.",Zelda Williams,Diablo Cody,"Comedy,Horror,Romance",2024.0,,,coming rage love story teenager crush happens corpse set horrific circumstance bring back life two embark journey find love happiness missing body part diablo cody zelda williams comedy horror romance
864,the quiet girl,"Rural Ireland 1981. A quiet, neglected girl is sent away from her dysfunctional family to live with foster parents for the summer. She blossoms in their care, but in this house where there are meant to be no secrets, she discovers one.",Colm Bairéad,"Colm Bairéad,Claire Keegan",Drama,2022.0,95.0,7.7,rural ireland quiet neglected girl sent away dysfunctional family live foster parent summer blossom care house meant secret discovers one colm bair ad claire keegan colm bair ad drama
865,defending your life,"In an afterlife way-station resembling a major city, the lives of the recently deceased are examined in a court-like setting.",Albert Brooks,Albert Brooks,"Comedy,Drama,Fantasy",1991.0,112.0,7.2,afterlife way station resembling major city life recently deceased examined court like setting albert brook albert brook comedy drama fantasy
866,the nutcracker and the four realms,A young girl is transported into a magical world of gingerbread soldiers and an army of mice.,"Joe Johnston,Lasse Hallström","Marius Petipa,E.T.A. Hoffmann,Ashleigh Powell","Adventure,Family,Fantasy",2018.0,99.0,5.6,young girl transported magical world gingerbread soldier army mouse marius petipa e hoffmann ashleigh powell joe johnston lasse hallstr adventure family fantasy
867,omg 2,An unhappy civilian asks the court to mandate comprehensive education in schools in a dramatic yet amusing courtroom play.,Amit Rai,Amit Rai,"Comedy,Drama",2023.0,156.0,7.7,unhappy civilian asks court mandate comprehensive education school dramatic yet amusing courtroom play amit rai amit rai comedy drama
868,downton abbey: a new era,The Crawley family goes on a grand journey to the South of France to uncover the mystery of the dowager countess's newly inherited villa.,Simon Curtis,,"Drama,Romance",2022.0,124.0,7.4,crawley family go grand journey south france uncover mystery dowager countess newly inherited villa simon curtis drama romance
869,underworld,"Selene, a vampire warrior, is entrenched in a conflict between vampires and werewolves, while falling in love with Michael, a human who is sought by werewolves for unknown reasons.",Len Wiseman,"Kevin Grevioux,Danny McBride,Len Wiseman","Action,Fantasy,Thriller",2003.0,121.0,7.0,selene vampire warrior entrenched conflict vampire werewolf falling love michael human sought werewolf unknown reason kevin grevioux danny mcbride len wiseman len wiseman action fantasy thriller
870,happiest season,"A holiday romantic comedy that captures the range of emotions tied to wanting your family's acceptance, being true to yourself, and trying not to ruin Christmas.",Clea DuVall,"Clea DuVall,Mary Holland","Comedy,Romance",2020.0,102.0,6.6,holiday romantic comedy capture range emotion tied wanting family acceptance true trying ruin christmas clea duvall mary holland clea duvall comedy romance
871,perfume: the story of a murderer,"Jean-Baptiste Grenouille, born with a superior olfactory sense, creates the world's finest perfume. His work, however, takes a dark turn as he searches for the ultimate scent.",Tom Tykwer,"Tom Tykwer,Andrew Birkin,Bernd Eichinger","Crime,Drama,Fantasy",2006.0,147.0,7.5,jean baptiste grenouille born superior olfactory sense creates world finest perfume work however take dark turn search ultimate scent tom tykwer andrew birkin bernd eichinger tom tykwer crime drama fantasy
872,wall street,"An impatient young stockbroker is willing to do anything to get to the top, including trading on illegal inside information taken through a ruthless, greedy corporate raider who takes the youth under his wing.",Oliver Stone,"Oliver Stone,Stanley Weiser","Crime,Drama",1987.0,126.0,7.3,impatient young stockbroker willing anything get top including trading illegal inside information taken ruthless greedy corporate raider take youth wing oliver stone stanley weiser oliver stone crime drama
873,fifty shades darker,"While Christian wrestles with his inner demons, Anastasia must confront the anger and envy of the women who came before her.",James Foley,"Niall Leonard,E.L. James","Drama,Romance,Thriller",2017.0,118.0,4.6,christian wrestle inner demon anastasia must confront anger envy woman came niall leonard e l james james foley drama romance thriller
874,perfect blue,"A pop singer gives up her career to become an actress, but she slowly goes insane when she starts being stalked by an obsessed fan and what seems to be a ghost of her past.",Satoshi Kon,"Yoshikazu Takeuchi,Rika Takahashi(english version),Rika Takahashi,Sadayuki Murai","Animation,Crime,Drama",1997.0,81.0,8.0,pop singer give career become actress slowly go insane start stalked obsessed fan seems ghost past yoshikazu takeuchi rika takahashi english version rika takahashi sadayuki murai satoshi kon animation crime drama
875,the bad guys,"To avoid prison, a gang of notorious animal criminals pretends to seek being rehabilitated, only for their leader to realize that he genuinely wants to change his ways.",Pierre Perifel,"Yoni Brenner,Aaron Blabey,Etan Cohen","Animation,Action,Adventure",2022.0,100.0,6.8,avoid prison gang notorious animal criminal pretend seek rehabilitated leader realize genuinely want change way yoni brenner aaron blabey etan cohen pierre perifel animation action adventure
876,kick-ass,"Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a superhero, even though he has no powers, training or meaningful reason to do so.",Matthew Vaughn,"Jane Goldman,Mark Millar,Matthew Vaughn","Action,Comedy,Crime",2010.0,117.0,7.6,dave lizewski unnoticed high school student comic book fan one day decides become superhero even though power training meaningful reason jane goldman mark millar matthew vaughn matthew vaughn action comedy crime
877,black mass,"The true story of Whitey Bulger, the brother of a state senator and the most infamous violent criminal in the history of South Boston, who became an FBI informant to take down a Mafia family invading his turf.",Scott Cooper,"Dick Lehr,Jez Butterworth,Mark Mallouk","Biography,Crime,Drama",2015.0,123.0,6.9,true story whitey bulger brother state senator infamous violent criminal history south boston became fbi informant take mafia family invading turf dick lehr jez butterworth mark mallouk scott cooper biography crime drama
878,what every frenchwoman wants,"A teenager returns home to spend his summer vacation. However, in a mansion full of women, he will have no choice but to expand his education in titillating ways.",Gianfranco Mingozzi,"Guillaume Apollinaire,Peter Fleischmann,Jean-Claude Carrière",Comedy,1986.0,95.0,5.6,teenager return home spend summer vacation however mansion full woman choice expand education titillating way guillaume apollinaire peter fleischmann jean claude carri gianfranco mingozzi comedy
879,body of lies,A CIA agent on the ground in Jordan hunts down a powerful terrorist leader while being caught between the unclear intentions of his American supervisors and Jordan Intelligence.,Ridley Scott,"David Ignatius,William Monahan","Action,Drama,Thriller",2008.0,128.0,7.0,cia agent ground jordan hunt powerful terrorist leader caught unclear intention american supervisor jordan intelligence david ignatius william monahan ridley scott action drama thriller
880,squealer,"When a local cop and an overzealous social-worker follow clues on missing persons cases around town, stomach-turning discoveries are unearthed on a pig farm, where the town butcher has been slaughtering more than livestock.",Andy Armstrong,"Andy Armstrong,Danielle Burgio","Action,Horror,Thriller",2023.0,100.0,3.5,local cop overzealous social worker follow clue missing person case around town stomach turning discovery unearthed pig farm town butcher slaughtering livestock andy armstrong danielle burgio andy armstrong action horror thriller
881,mr. nobody,"A boy stands on a station platform as a train is about to leave. Should he go with his mother or stay with his father? Infinite possibilities arise from this decision. As long as he doesn't choose, anything is possible.",Jaco Van Dormael,Jaco Van Dormael,"Drama,Fantasy,Romance",2009.0,141.0,7.7,boy stand station platform train leave go mother stay father infinite possibility arise decision long choose anything possible jaco van dormael jaco van dormael drama fantasy romance
882,rear window,"A photographer in a wheelchair spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism of his fashion-model girlfriend.",Alfred Hitchcock,"John Michael Hayes,Cornell Woolrich","Mystery,Thriller",1954.0,112.0,8.5,photographer wheelchair spy neighbor greenwich village courtyard apartment window becomes convinced one committed murder despite skepticism fashion model girlfriend john michael hayes cornell woolrich alfred hitchcock mystery thriller
883,portrait of a lady on fire,"On an isolated island in Brittany at the end of the eighteenth century, a female painter is obliged to paint a wedding portrait of a young woman.",Céline Sciamma,Céline Sciamma,"Drama,Romance",2019.0,122.0,8.1,isolated island brittany end eighteenth century female painter obliged paint wedding portrait young woman c line sciamma c line sciamma drama romance
884,cocoon,"When a group of trespassing seniors swim in a pool containing alien cocoons, they find themselves energized with youthful vigor.",Ron Howard,"Tom Benedek,David Saperstein","Comedy,Drama,Sci-Fi",1985.0,117.0,6.7,group trespassing senior swim pool containing alien cocoon find energized youthful vigor tom benedek david saperstein ron howard comedy drama sci fi
885,waiting...,Young employees at ShenaniganZ restaurant collectively stave off boredom and adulthood with their antics.,Rob McKittrick,Rob McKittrick,Comedy,2005.0,94.0,6.7,young employee shenaniganz restaurant collectively stave boredom adulthood antic rob mckittrick rob mckittrick comedy
886,killing me softly,A woman faces deadly consequences for abandoning her loving relationship with her boyfriend to pursue exciting sexual scenarios with a mysterious celebrity mountaineer.,Kaige Chen,"Kara Lindstrom,Sean French","Drama,Mystery,Romance",2002.0,100.0,5.4,woman face deadly consequence abandoning loving relationship boyfriend pursue exciting sexual scenario mysterious celebrity mountaineer kara lindstrom sean french kaige chen drama mystery romance
887,three thousand years of longing,"A lonely scholar, on a trip to Istanbul, discovers a Djinn who offers her three wishes in exchange for his freedom.",George Miller,"A.S. Byatt,Augusta Gore,George Miller","Drama,Fantasy,Romance",2022.0,108.0,6.7,lonely scholar trip istanbul discovers djinn offer three wish exchange freedom byatt augusta gore george miller george miller drama fantasy romance
888,my neighbor totoro,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.",Hayao Miyazaki,,"Animation,Comedy,Family",1988.0,86.0,8.1,two girl move country near ailing mother adventure wondrous forest spirit live nearby hayao miyazaki animation comedy family
889,masters of the universe,The heroic warrior He-Man battles against the evil lord Skeletor and his armies of darkness for control of Castle Grayskull.,Gary Goddard,"Stephen Tolkin(uncredited),Stephen Tolkin,Gary Goddard(uncredited),David Odell,Gary Goddard","Action,Adventure,Fantasy",1987.0,106.0,5.3,heroic warrior man battle evil lord skeletor army darkness control castle grayskull stephen tolkin uncredited stephen tolkin gary goddard uncredited david odell gary goddard gary goddard action adventure fantasy
890,the reader,"Post-WWII Germany: Nearly a decade after his affair with an older woman came to a mysterious end, law student Michael Berg re-encounters his former lover as she defends herself in a war-crime trial.",Stephen Daldry,"David Hare,Bernhard Schlink","Drama,Mystery,Romance",2008.0,124.0,7.6,post wwii germany nearly decade affair older woman came mysterious end law student michael berg encounter former lover defends war crime trial david hare bernhard schlink stephen daldry drama mystery romance
891,cinema paradiso,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,Giuseppe Tornatore,"Vanna Paoli,Giuseppe Tornatore","Drama,Romance",1988.0,155.0,8.5,filmmaker recall childhood falling love picture cinema home village form deep friendship cinema projectionist vanna paoli giuseppe tornatore giuseppe tornatore drama romance
892,assassin's creed,"Callum Lynch explores the memories of his ancestor Aguilar de Nerha and gains the skills of a Master Assassin, before taking on the secret Templar society.",Justin Kurzel,"Adam Cooper,Michael Lesslie,Bill Collage","Action,Adventure,Sci-Fi",2016.0,115.0,5.6,callum lynch explores memory ancestor aguilar de nerha gain skill master assassin taking secret templar society adam cooper michael lesslie bill collage justin kurzel action adventure sci fi
893,reminiscence,"Nick Bannister, a private investigator of the mind, navigates the alluring world of the past when his life is changed by new client Mae. A simple case becomes an obsession after she disappears and he fights to learn the truth about her.",Lisa Joy,Lisa Joy,"Mystery,Romance,Sci-Fi",2021.0,116.0,5.9,nick bannister private investigator mind navigates alluring world past life changed new client mae simple case becomes obsession disappears fight learn truth lisa joy lisa joy mystery romance sci fi
894,madagascar,"A group of animals who have spent all their life in a New York zoo end up in the jungles of Madagascar, and must adjust to living in the wild.","Tom McGrath,Eric Darnell","Billy Frolick,Eric Darnell,Mark Burton","Animation,Adventure,Comedy",2005.0,86.0,6.9,group animal spent life new york zoo end jungle madagascar must adjust living wild billy frolick eric darnell mark burton tom mcgrath eric darnell animation adventure comedy
895,iron man 2,"With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy.",Jon Favreau,"Stan Lee,Don Heck,Justin Theroux","Action,Sci-Fi",2010.0,124.0,6.9,world aware identity iron man tony stark must contend declining health vengeful mad man tie father legacy stan lee heck justin theroux jon favreau action sci fi
